Source,Reference,Prediction,Sentence_BLEU
"Knowledge, practices in public health service utilization among health insurance card’s holders and influencing factors in Vientiane, Lao","Thực trạng kiến thức và thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố ảnh hưởng tại tỉnh Viêng Chăn, CHDCND Lào, năm 2017","Kiến thức, thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế và các yếu tố ảnh hưởng tại Việt Nam, Lào",30.018312667477588
"Describe knowledge, practices in public health service utilization among health insurance card's holders and influencing factors in Vientiane, Lao PDR, 2017.","Mô tả thực trạng kiến thức, thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố liên quan tại tỉnh Viêng Chăn, Cộng hoà Dân chủ Nhân dân Lào năm 2017.","Mô tả kiến thức, thực hành trong việc sử dụng dịch vụ y tế công cộng giữa những người có thẻ bảo hiểm y tế và các yếu tố ảnh hưởng tại Việt Nam, Lào năm 2017.",29.411879627940397
"Methodology: A cross sectional study was used among 928 adult health insurance card's holders in Phone Hong and Keo Oudom districts, Vientiane province.","Phương pháp: Thiết kế nghiên mô tả cắt ngang được thực hiện trên 928 người trưởng thành có thẻ bảo hiểm y tế tại 2 huyện Phone Hong và Keo Oudom, tỉnh Viêng Chăn.","Đối tượng và phương pháp nghiên cứu: Nghiên cứu cắt ngang được thực hiện trên 928 người có thẻ bảo hiểm sức khoẻ người lớn tại các huyện Phone Hong và Keo Oudom, tỉnh Viên Tiền.",42.67163716766503
Results: Percentage of card's holders who knew the finance-free utilization of the first registered public health services was 44.5% and being provided health insurance information was 34.8%.,"Kết quả: Tỷ lệ người biết được khám chữa bệnh (KCB) miễn phí tại nơi đăng ký ban đầu chiếm 44,5%, được cung cấp thông tin về bảo hiểm y tế (BHYT) chiếm 34,8%.","Kết quả: Tỷ lệ người có thẻ biết sử dụng miễn phí dịch vụ y tế công khai đầu tiên là 44,5% và được cung cấp thông tin bảo hiểm y tế là 34,8%.",29.60653900439408
Percentage of card's holders who went to the first registered public health services was 61.8%.,"Tỷ lệ người có thẻ BHYT thực hành khám chữa bệnh đúng nơi đăng ký KCB ban đầu chiếm 61,8%.","Tỷ lệ người có thẻ đi đến dịch vụ y tế công cộng đăng ký đầu tiên là 61,8%.",24.4003265929713
Percentage of card's holders who went to public health services to receive medicines for their relatives / others people was 20.1%.,"Tỷ lệ người có thẻ BHYT sử dụng thẻ để lấy thuốc cho người khác khá cao (20,1%).","Tỷ lệ người có thẻ đi đến các dịch vụ y tế công cộng để nhận thuốc cho người thân / người khác là 20,1%.",21.081851067789188
"The determinants of knowledge and practices in public health service utilization among health insurance card's holders were distance and time taken to health services, time of health insurance and health insurance information provided.","Các yếu tố khoảng cách từ nhà đến cơ sở y tế, thời gian tham gia BHYT và được tiếp nhận thông tin về BHYT của người có thẻ BHYT là những yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng thẻ BHYT trong khám chữa bệnh.","Các yếu tố quyết định kiến thức và thực hành trong việc sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế là khoảng cách và thời gian đi đến dịch vụ y tế, thời gian bảo hiểm y tế và thông tin bảo hiểm y tế được cung cấp.",21.27988282044162
Conclusions: Knowledge and practices in public health service utilization among health insurance card's holders were still limited.,Kết luận: Kiến thức và thực hành của người có thẻ BHYT trong sử dụng dịch vụ y tế công tại Cộng hoà Dân chủ Nhân dân Lào còn hạn chế.,Kết luận: Kiến thức và thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế vẫn còn hạn chế.,51.95356727765218
It's necessary to provide health insurance communication and education for people who live in remote areas and participate interupted health insurance.,Cần tập trung vào truyền thông cho những nhóm người sống xa cơ sở y tế và những người tham gia bảo hiểm y tế không liên tục.,Cần cung cấp thông tin và giáo dục bảo hiểm y tế cho những người sống ở vùng xa xôi và tham gia bảo hiểm y tế bị gián đoạn.,22.205390999338697
Studying the method of quantification of diclofenac sodium in traditional herbal medicines used for treatment or support osteoarthritis by high performance liquid chromatography,Nghiên cứu xác định thuốc diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao,Nghiên cứu phương pháp định lượng dung lượng natri diclofenac trong các loại thuốc thảo dược truyền thống được sử dụng để điều trị hoặc hỗ trợ viêm khớp bằng nhiễm sắc thể lỏng hiệu suất cao,18.84710726871523
