Source,Reference,Prediction,Sentence_BLEU
"Thực trạng kiến thức và thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố ảnh hưởng tại tỉnh Viêng Chăn, CHDCND Lào, năm 2017","Knowledge, practices in public health service utilization among health insurance card’s holders and influencing factors in Vientiane, Lao","The status of knowledge and practice of health insurance card holders in the use of medical examination services in public health facilities and some influencing factors in Vieng Can province, Laos, in 2017",8.312565735249724
"Mô tả thực trạng kiến thức, thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố liên quan tại tỉnh Viêng Chăn, Cộng hoà Dân chủ Nhân dân Lào năm 2017.","Describe knowledge, practices in public health service utilization among health insurance card's holders and influencing factors in Vientiane, Lao PDR, 2017.","Describe the status of knowledge, practice of health insurance card holders in using medical examination services in public health facilities and some related factors in Viên Can province, Lao People's Democratic Republic in 2017.",7.709641969753913
"Phương pháp: Thiết kế nghiên mô tả cắt ngang được thực hiện trên 928 người trưởng thành có thẻ bảo hiểm y tế tại 2 huyện Phone Hong và Keo Oudom, tỉnh Viêng Chăn.","Methodology: A cross sectional study was used among 928 adult health insurance card's holders in Phone Hong and Keo Oudom districts, Vientiane province.","Methods: A cross-sectional descriptive study was conducted on 928 adults with health insurance cards in 2 districts of Phone Hong and Keo Oudom, Viên Can province.",19.451327869941426
"Kết quả: Tỷ lệ người biết được khám chữa bệnh (KCB) miễn phí tại nơi đăng ký ban đầu chiếm 44,5%, được cung cấp thông tin về bảo hiểm y tế (BHYT) chiếm 34,8%.",Results: Percentage of card's holders who knew the finance-free utilization of the first registered public health services was 44.5% and being provided health insurance information was 34.8%.,"Results: The proportion of people who know about free medical examination at the place of initial registration accounted for 44.5%, provided information about health insurance accounted for 34.8%.",7.860878798599255
"Tỷ lệ người có thẻ BHYT thực hành khám chữa bệnh đúng nơi đăng ký KCB ban đầu chiếm 61,8%.",Percentage of card's holders who went to the first registered public health services was 61.8%.,The percentage of people with BHYT card practicing medical examination correctly at the initial registration of the hospital accounted for 61.8%.,6.964541799727335
"Tỷ lệ người có thẻ BHYT sử dụng thẻ để lấy thuốc cho người khác khá cao (20,1%).",Percentage of card's holders who went to public health services to receive medicines for their relatives / others people was 20.1%.,The proportion of BHYT card holders using the card to get medication for others was quite high (20.1%).,4.807741174365077
"Các yếu tố khoảng cách từ nhà đến cơ sở y tế, thời gian tham gia BHYT và được tiếp nhận thông tin về BHYT của người có thẻ BHYT là những yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng thẻ BHYT trong khám chữa bệnh.","The determinants of knowledge and practices in public health service utilization among health insurance card's holders were distance and time taken to health services, time of health insurance and health insurance information provided.","Factors of distance from home to medical facility, time of participation in BHYT and receipt of information about the health of BHYT card holders are factors that affect the knowledge and practice of using BHYT card in medical examination.",5.421654156148254
Kết luận: Kiến thức và thực hành của người có thẻ BHYT trong sử dụng dịch vụ y tế công tại Cộng hoà Dân chủ Nhân dân Lào còn hạn chế.,Conclusions: Knowledge and practices in public health service utilization among health insurance card's holders were still limited.,Conclusion: Knowledge and practice of BHYT card holders in the use of public health services in Lao People's Democratic Republic is limited.,9.165852474742529
Cần tập trung vào truyền thông cho những nhóm người sống xa cơ sở y tế và những người tham gia bảo hiểm y tế không liên tục.,It's necessary to provide health insurance communication and education for people who live in remote areas and participate interupted health insurance.,It is necessary to focus on communication for groups of people who live far from health facilities and those who participate in non-continuous health insurance.,11.8184739264916
Nghiên cứu xác định thuốc diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao,Studying the method of quantification of diclofenac sodium in traditional herbal medicines used for treatment or support osteoarthritis by high performance liquid chromatography,Study identifying diclofenac sodium mixed in pharmaceutical preparations used to treat or support the treatment of osteoporosis by high-efficiency liquid chromatography method,6.93659923536657
"Để góp phần vào công tác kiểm tra phát hiện các chất cấm trộn lẫn trong thuốc đông dược, chúng tôi tiến hành đề tài xây dựng phương pháp định lượng diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao với detector UV-vis.","In order to contribute to the detection of banned substances in traditional herbal medicines, we conducted a study on the method of quantification of diclofenac sodium in traditional herbal medicines which are used for treatment or support for osteoarthritis by high performance liquid chromatography (HPLC).","To contribute to the work of testing for the detection of mixed substances in pharmaceuticals, we have developed a quantitative method of diclofenac sodium mixed in pharmaceuticals used to treat or support the treatment of osteoporosis by high-efficiency fluid chromatography with UV-vis detector.",9.350104479009206
"Sau khi xử lý mẫu diclofenac natri được tiến hành định lượng bằng phương pháp sắc ký lỏng hiệu năng cao với cột pha đảo (C 8, 150 mm x 4,6 mm, 5 μm), pha động methanol / đệm phosphat pH 2,5 (7 0:3 0 v / v) tốc độ dòng chảy là 1,0 ml / phút, bước sóng phát hiện 275 nm.","After precipating, diclofenac sodium was eluted by HPLC using a reverse-phase column (C8, 150 mm x 4.6 mm, 5 μm), mobile phase contains methanol / phosphat buffer (70: 30 v / v, pH 2.5), at a flow rate of 1.0 ml / min, and a wavelength detection at 275 nm.","After processing the sodium diclofenac sample was quantitatively carried out by high-efficiency liquid chromatography method with island phase (C8, 150 mm x 4.6 mm, 5 μm), methanol / phosphate buffer phase pH 2.5 (7: 0: 0 v / v) flow rate was 1.0 ml / minute, detection wavelength was 275 nm.",30.31076171754244
Như vậy phương pháp đã xây dựng phù hợp đề xác định diclofenac natri trong dược liệu.,"Therefor, the method was appropriately formulated to determine diclofenac sodium in herbal medicines.","Thus, the method has built up the identification of diclofenac sodium in pharmaceuticals.",17.098323692758395
Nghiên cứu đặc điểm lâm sàng và nồng độ dopamin huyết tương ở bệnh nhân tâm thần phân liệt,Research for clinical characteristics and plasma dopamine concentrations in schizophrenic patients,Clinical characteristics and serum dopamine levels in psychiatric patients with schizophrenia,9.425159511373677
"Nghiên cứu được thực hiện nhằm đánh giá tác dụng giảm cân, hạ lipid máu của hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam trên chuột nhắt trắng gây béo phì.",The purpose of this study was to evaluate the effects of a mixture extract of C chrysantha and G pentaphyllum on weight loss and lowering lipid blood levels in obese Swiss mice.,The study was conducted to evaluate the weight loss and blood lipid-lowering effects of the yellow flower extract mixture and paracetamol on white rat causing obesity.,9.988909247614615
Chuột nhắt trắng chủng Swiss được chia ngẫu nhiên thành 5 lô với 8 con trong mỗi lô.,Swiss mice were randomly allocated into 5 groups with 8 animals in each group.,The Swiss white rat was randomly divided into 5 sets with 8 cubes in each set.,8.767411578311545
Lô 1: chuột không gây béo phì.,Group 1: non-obese mice.,Lot 1: Mice do not cause obesity.,10.552670315936318
"Với 4 lô còn lại, chuột được gây béo phì trong vòng 8 tuần.","With the remaining 4 groups, the mice were induced to become obese for 8 weeks.","With the remaining 4 batches, the mice were obese within 8 weeks.",36.086384747950035
"Sau đó với lô 2 chuột được uống nước cất, lô 3 chuột được uống hỗn hợp dịch chiết liều 12 g / kg / ngày, lô 4 chuột được uống hỗn hợp dịch chiết liều 2 4g / kg / ngày và lô 5 chuột được uống atorvastatin liều 15 mg / kg / ngày.","mice were fed with distilled water (group 2) mixture extract at a dose of 12g / kg / day (group 3), 24g / kg / day (group 4) and atorvastatin at a dose of 15mg / kg / day (group 5).","Then with 2 mice batches were given water, 3 mice batches were given oral mixture of extract 12 g / kg / day, 4 mice were given oral mixture of extract 2.4 g / kg / day and 5 mice were given atorvastatin 15 mg / kg / day.",16.6887086590326
Thời gian uống thuốc thử là 14 ngày.,The feeding time period was 14 days.,The duration of treatment was 14 days.,36.55552228545123
"Trọng lượng chuột ở mỗi lô được đánh giá hàng tuần và hàm lượng Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglycerid (TC) tại các thời điểm chưa uống thuốc (sau gây béo phì 8 tuần) và sau uống thuốc thử ngày cuối 1 giờ.","Mice in each group was assessed for weight weekly and the levels of Total Cholesterol (CT), HDLCholesterol (HDL-C), LDL-Cholesterol (LDL-C) and Triglyceride (TC) was recorded at initial time (after obesity was induced for 8 weeks) and 1 hour after taking the extracted mixtures on the last day.","The weight of mice in each batch was assessed weekly and the total cholesterol (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C), and Triglyceride (TC) levels at the time before taking the drug (after 8 weeks of obesity) and after taking the drug on the last day of the trial.",33.32342834028374
"Kết quả cho thấy hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam ở liều 12 g / kg / ngày và 24 g / kg / ngày, atorvastatin liều 15 mg / kg / ngày (lô 3,4,5) đều giảm có ý nghĩa thống kê thể trọng chuột và các chỉ số CT, LDL-C và TC so với lô 2 (p < 0,05) và khác biệt không có ý nghĩa thống kê giữa các lô 3,4,5 (p > 0,05).","The results showed that the mixture extract of C chrysantha and G pentaphyllum at doses of 12 g / kg / day and 24 g / kg / day, atorvastatin at a dose of 15 mg / kg / day (group 3, 4, 5) induced weight loss and decreased TC, CT, LDL-C levels compared with group 2 (p < 0.05) and the difference was not statistically significant between groups 3, 4, 5 (p > 0.05).","The results showed that the mixture of extract fluid Yellow flowers and parathyroid glands at a dose of 12 g / kg / day and 24 g / kg / day, atorvastatin at a dose of 15 mg / kg / day (3.4.5) were significantly reduced in rat weight and CT, LDL-C and TC indices compared to batch 2 (p<0.05) and the difference was statistically meaningless between batches 3.4, 5 (p>0.05).",55.248660561521056
Đặc điểm lâm sàng và điện sinh lý của tổn thương thần kinh ngoại vi ở người bệnh đái tháo đường tuýp 2 mới được chẩn đoán,"Research characteristics of clinical, paraclinical peripheral nerve damage in newly diagnosed type 2 diabetes patients",Clinical and electrophysiological characteristics of peripheral nerve damage in newly diagnosed type 2 diabetic patients,49.84390309259902
"Nghiên cứu mô tả cắt ngang nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An.","A cross-sectional descriptive study was implemented to assess fluor contaminated teeth among children aged 12 years of Thai ethnic group in Con Cuong district, Nghe An province.","A cross-sectional descriptive study to evaluate fluoride dental status among Thai 12-year-olds in Con Cuong district, Nghệ An province.",25.601451267042023
Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học cơ sở. Nghiên cứu theo phương pháp điều tra và phân loại của Tổ chức Y tế Thế giới (WHO) năm 2013 sử dụng chỉ số răng nhiễm fluor Dean.,"The study was completed in May 2015 with 476 children aged 12 years at 9 secondary schools, applying the methodology of investigation and classification of WHO-2013 with the Dean's fluorosis index.",The study was completed in May 2015 with 476 12-year-old children at 9 primary schools. The study was conducted by the investigation and classification method of the World Health Organization (WHO) in 2013 using the Dean fluoride tooth index.,24.398636512078777
"Kết quả nghiên cứu: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu tính cả mức độ nghi ngờ là 13,2%.",Research results showed that: The rate of 12-year-old children with fluor contaminated teeth including the suspicion level was 13.2%.,"Results: The percentage of 12-year-old children with fluoride-infected teeth, including the degree of suspicion, was 13.2%.",35.10350529264055
"Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7,1%.",The rate of 12-year-old children with fluor contaminated teeth without suspicion level was 7.1%.,The percentage of 12-year-old children with fluoride-infected teeth without the degree of suspicion was 7.1%.,42.461633178803446
